strategy,attempt,candidate_id,quality_pct,traffic_spike_f1,latency_spike_f1,packet_loss_spike_f1,reached_gate,elapsed_seconds
fixed,1,hybrid_aggressive,80.63333500723138,0.0,0.0,0.0,0,506.90329210000345
fixed,2,hybrid_r2_recovery,80.6689718337698,0.0,0.0,0.0,0,283.2487809000013
fixed,3,hybrid_low_quantile,81.33861327600773,0.0,0.0,0.0,0,364.22300309999264
fixed,4,hybrid_gb_heavy,73.6836253947528,0.0,0.0,0.0,0,456.1537987999909
fixed,5,hybrid_default,73.6836253947528,0.0,0.0,0.0,0,324.1099557999987
fixed,6,gb_spike,68.43059115293705,0.0,0.0,0.0,0,32.58328389999224
random,1,hybrid_aggressive,80.63333500723138,0.0,0.0,0.0,0,531.2917493999994
random,2,gb_spike_deep,69.92260762916558,0.0,0.0,0.0,0,44.36055280000437
random,3,hybrid_short_seq,71.64182493974091,0.0,0.0,0.0,0,269.8563387000031
random,4,hybrid_low_quantile,81.33861327600773,0.0,0.0,0.0,0,405.2229796000029
random,5,hybrid_default,73.6836253947528,0.0,0.0,0.0,0,432.0369209999917
random,6,gb_spike,68.43059115293705,0.0,0.0,0.0,0,33.19708640000317
meta_policy,1,hybrid_low_quantile,81.33861327600773,0.0,0.0,0.0,0,360.2309180000011
meta_policy,2,hybrid_default,73.6836253947528,0.0,0.0,0.0,0,415.5533749000024
meta_policy,3,hybrid_aggressive,80.63333500723138,0.0,0.0,0.0,0,411.3236057000031
meta_policy,4,hybrid_gb_heavy,73.6836253947528,0.0,0.0,0.0,0,376.34272580000106
meta_policy,5,hybrid_r2_recovery,80.6689718337698,0.0,0.0,0.0,0,289.51181719999295
meta_policy,6,gb_spike,68.43059115293705,0.0,0.0,0.0,0,32.330070299998624
