condition,feature,seed,mae,rmse,r2,spike_precision,spike_recall,spike_f1
no_spike_weighting,traffic_mbps,7,7.770140398768693,15.414651882819888,0.7648306223900555,0.7948717948717948,0.7294117647058823,0.7607361963190183
no_spike_weighting,latency_ms,7,0.815780346393243,1.8013137425857657,0.17205449604498957,0.45161290322580644,0.4,0.4242424242424243
no_spike_weighting,packet_loss_pct,7,0.24667811666674372,0.6327863555829829,0.10255476394531127,0.53125,0.2361111111111111,0.32692307692307687
no_spike_weighting,traffic_mbps,17,7.730282778417801,15.452670481565539,0.7636691513362556,0.8055555555555556,0.6823529411764706,0.7388535031847134
no_spike_weighting,latency_ms,17,0.829222302878013,1.8044078325051591,0.16920775379622122,0.4625,0.5285714285714286,0.49333333333333335
no_spike_weighting,packet_loss_pct,17,0.2378084017980332,0.635547692968009,0.09470517584300497,0.5333333333333333,0.2222222222222222,0.3137254901960784
no_spike_weighting,traffic_mbps,27,8.098991594971194,15.496511866891018,0.7623262417443948,0.7945205479452054,0.6823529411764706,0.7341772151898736
no_spike_weighting,latency_ms,27,0.815348392820123,1.7932001333061998,0.17949628383928506,0.4909090909090909,0.38571428571428573,0.432
no_spike_weighting,packet_loss_pct,27,0.23608855248119354,0.6365319800265691,0.09189890339622553,0.5263157894736842,0.1388888888888889,0.21978021978021975
uniform_spike_weighting,traffic_mbps,7,8.873497493901008,16.178096788273322,0.7409591920993466,0.7435897435897436,0.6823529411764706,0.7116564417177913
uniform_spike_weighting,latency_ms,7,1.0903510095676163,2.156638674362183,-0.18680073181363377,0.2972972972972973,0.3142857142857143,0.3055555555555555
uniform_spike_weighting,packet_loss_pct,7,0.28552106874274197,0.6826505182930876,-0.04445706714968889,0.43137254901960786,0.3055555555555556,0.3577235772357724
uniform_spike_weighting,traffic_mbps,17,8.870822281835698,16.15091150148644,0.741829032607451,0.7638888888888888,0.6470588235294118,0.7006369426751593
uniform_spike_weighting,latency_ms,17,1.0546393947298722,2.106326858749669,-0.1320733289518703,0.3076923076923077,0.2857142857142857,0.29629629629629634
uniform_spike_weighting,packet_loss_pct,17,0.27075590624434154,0.6539499390860128,0.04152067004819315,0.42857142857142855,0.2916666666666667,0.34710743801652894
uniform_spike_weighting,traffic_mbps,27,9.364645170618786,16.743373480563587,0.7225407188111075,0.7903225806451613,0.5764705882352941,0.6666666666666666
uniform_spike_weighting,latency_ms,27,1.0889730681704326,2.1624564116378746,-0.19321238315161127,0.26,0.18571428571428572,0.21666666666666667
uniform_spike_weighting,packet_loss_pct,27,0.28387425735791094,0.687114082177666,-0.05816024951731924,0.425531914893617,0.2777777777777778,0.3361344537815126
differentiated_spike_weighting,traffic_mbps,7,9.422762713186659,17.141768509778316,0.7091797931342976,0.7142857142857143,0.6470588235294118,0.6790123456790124
differentiated_spike_weighting,latency_ms,7,1.2750547554453202,2.432445296538363,-0.5097644388551965,0.2909090909090909,0.45714285714285713,0.35555555555555557
differentiated_spike_weighting,packet_loss_pct,7,0.4136937640897912,0.8362885841665393,-0.5674947002209609,0.34146341463414637,0.3888888888888889,0.36363636363636365
differentiated_spike_weighting,traffic_mbps,17,8.604539424443338,16.000469008854722,0.7466162535642944,0.7571428571428571,0.6235294117647059,0.6838709677419355
differentiated_spike_weighting,latency_ms,17,1.1633200488460307,2.2400176304347212,-0.28034172957853687,0.1724137931034483,0.07142857142857142,0.10101010101010101
differentiated_spike_weighting,packet_loss_pct,17,0.32008870004185624,0.7595648112450745,-0.2930741141570741,0.38596491228070173,0.3055555555555556,0.34108527131782945
differentiated_spike_weighting,traffic_mbps,27,9.137022371419034,16.503218800371933,0.7304429825352894,0.7432432432432432,0.6470588235294118,0.6918238993710691
differentiated_spike_weighting,latency_ms,27,1.2633499170610798,2.3222838920910296,-0.37611157233664283,0.3017241379310345,0.5,0.3763440860215054
differentiated_spike_weighting,packet_loss_pct,27,0.35032300573827313,0.8162120094336804,-0.49313716454422507,0.3582089552238806,0.3333333333333333,0.3453237410071942
